,Folio,FP,TC,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
386,11058,3.0,1.0,1042.0,166.72,0.0,0.0,1208.72,1208.72
387,68987,99.0,1.0,1150.0,184.0,0.0,0.0,1334.0,1334.0
388,77,3.0,1.0,,,,,,
389,10115,1.0,1.0,216.0,34.56,0.0,0.0,250.56,250.56
390,83839,1.0,1.0,142.16,22.75,0.0,0.0,164.91,164.91
391,30726,99.0,1.0,1596.01,255.36,0.0,0.0,1851.37,1851.37
392,882974,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
393,053560,1.0,1.0,220.0,0.0,0.0,0.0,220.0,220.0
394,1092957089,3.0,1.0,,682.4,0.0,0.0,,
395,1453820,5.0,1.0,,0.0,0.0,0.0,,
396,18,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
